Name	Math_Avg	Reading_Avg	Attendance_Ratio	Rating
343	FRANKLIN DELANO ROOSEVELT HIGH SCHOOL	486	383	0.176	3
344	THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE	0	0	0.129	2
345	FRANKLIN DELANO ROOSEVELT YABC	477	338	1.1	0
346	INTERNATIONAL HIGH SCHOOL AT LAFAYETTE	386	326	0.141	2
347	RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES	427	402	0.2	3
348	HIGH SCHOOL OF SPORTS MANAGEMENT	398	388	0.221	3
349	ABRAHAM LINCOLN HIGH SCHOOL	437	396	0.152	3
350	KINGSBOROUGH EARLY COLLEGE SCHOOL	0	0	0.105	4
351	EDWARD R. MURROW HIGH SCHOOL	496	468	0.1	4
352	JOHN DEWEY HIGH SCHOOL	468	404	0.142	2
353	LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC	375	384	0.204	3
354	EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS	370	353	0.161	3
355	WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	414	394	0.26	3
356	BROOKLYN STUDIO SECONDARY SCHOOL	449	429	0.164	3
357	LIBERATION DIPLOMA PLUS	369	411	0.555	4
358	MIDWOOD HIGH SCHOOL	519	478	0.074	4
359	JAMES MADISON HIGH SCHOOL	475	436	0.104	4
360	SHEEPSHEAD BAY HIGH SCHOOL	392	383	0.315	3
361	LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES	561	524	0.056	4
362	BROOKLYN COLLEGE ACADEMY	456	456	0.047	3
363	BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL	409	389	0.223	3
364	FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL	371	361	0.186	3
365	BROOKLYN DEMOCRACY ACADEMY	338	349	0.568	3
366	ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL	371	311	0.562	2
367	METROPOLITAN DIPLOMA PLUS HIGH SCHOOL	346	350	0.526	3
368	TEACHERS PREPARATORY HIGH SCHOOL	416	392	0.192	3
369	ACADEMY OF FINANCE AND ENTERPRISE	454	405	0.071	4
370	HIGH SCHOOL OF APPLIED COMMUNICATION	413	406	0.149	3
371	CIVIC LEADERSHIP ACADEMY	429	404	0.127	3
372	PAN AMERICAN INTERNATIONAL HIGH SCHOOL	323	317	0.136	2
373	BARD HIGH SCHOOL EARLY COLLEGE II	568	545	0.035	3
374	NEWTOWN HIGH SCHOOL	440	383	0.168	1
375	YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS	0	0	0.75	0
376	GROVER CLEVELAND HIGH SCHOOL	420	395	0.26	3
377	MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE	393	399	0.086	3
378	INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE	409	326	0.072	4
379	HIGH SCHOOL FOR ARTS AND BUSINESS	403	391	0.104	4
380	ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY	447	443	0.139	3
381	QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL	447	417	0.117	4
382	AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL	496	445	0.046	4
383	VOYAGES PREPARATORY	0	0	0.396	4
384	QUEENS SCHOOL OF INQUIRY, THE	498	455	0.068	3
385	FLUSHING INTERNATIONAL HIGH SCHOOL	417	314	0.066	3
386	EASTsWEST SCHOOL OF INTERNATIONAL STUDIES	463	416	0.104	4
387	WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL	489	471	0.097	4
388	JOHN BOWNE HIGH SCHOOL	451	397	0.205	3
389	FLUSHING HIGH SCHOOL	441	393	0.211	2
390	FLUSHING YABC	373	378	0.549	0
391	TOWNSEND HARRIS HIGH SCHOOL	651	621	0.024	4
392	QUEENS ACADEMY HIGH SCHOOL	382	398	0.502	4
393	ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL	458	431	0.116	3
394	NORTH QUEENS COMMUNITY HIGH SCHOOL	421	379	0.587	3
395	BENJAMIN N. CARDOZO HIGH SCHOOL	545	480	0.099	3
396	FRANCIS LEWIS HIGH SCHOOL	539	468	0.089	3
397	MARTIN VAN BUREN HIGH SCHOOL	397	391	0.228	2
398	BAYSIDE HIGH SCHOOL	523	462	0.101	4
399	QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES	434	425	0.097	4
400	FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL	385	387	0.286	3
401	CHANNEL VIEW SCHOOL FOR RESEARCH	419	432	0.159	3
402	QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY	401	391	0.213	3
403	ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY	426	423	0.095	3
404	ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL	379	367	0.169	2
405	SCHOLARS' ACADEMY	537	499	0.065	4
406	AUGUST MARTIN HIGH SCHOOL	371	377	0.366	2
407	BEACH CHANNEL HIGH SCHOOL	396	384	0.736	1
408	RICHMOND HILL HIGH SCHOOL	404	382	0.256	2
409	JOHN ADAMS HIGH SCHOOL	409	391	0.255	2
410	HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE	491	429	0.077	3
411	YORK EARLY COLLEGE ACADEMY	0	0	0.045	3
412	QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL	445	420	0.147	4
413	HILLSIDE ARTS & LETTERS ACADEMY	0	0	0.147	3
414	QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY	408	403	0.484	2
415	JAMAICA GATEWAY TO THE SCIENCES	452	430	0.081	3
416	FOREST HILLS HIGH SCHOOL	497	456	0.113	3
417	JAMAICA HIGH SCHOOL	368	342	0.298	1
418	HILLCREST HIGH SCHOOL	413	395	0.142	3
419	THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	478	452	0.085	4
420	QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL	523	513	0.045	3
421	QUEENS METROPOLITAN HIGH SCHOOL	0	0	0.106	3
422	QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE	660	612	0.033	3
423	HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY	406	406	0.125	3
424	YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS	445	439	0.113	2
425	QUEENS PREPARATORY ACADEMY	380	360	0.157	3
426	PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL	397	401	0.164	3
427	EXCELSIOR PREPARATORY HIGH SCHOOL	398	402	0.151	4
428	GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES	427	436	0.103	3
429	PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL	367	370	0.091	3
430	CAMBRIA HEIGHTS ACADEMY	0	0	0.107	3
431	MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL	426	400	0.197	2
432	LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL	377	385	0.208	2
433	BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL	414	379	0.205	2
434	HUMANITIES & ARTS MAGNET HIGH SCHOOL	381	393	0.154	3
435	YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA	0	0	0.052	3
436	ACADEMY FOR CAREERS IN TELEVISION AND FILM	440	410	0.073	4
437	WILLIAM CULLEN BRYANT HIGH SCHOOL	449	414	0.121	2
438	LONG ISLAND CITY HIGH SCHOOL	420	403	0.259	3
439	FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL	496	504	0.094	4
440	INFORMATION TECHNOLOGY HIGH SCHOOL	434	407	0.098	3
441	NEWCOMERS HIGH SCHOOL	475	323	0.087	4
442	ACADEMY OF AMERICAN STUDIES	492	487	0.071	3
443	BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION	568	524	0.036	3
444	CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES	451	452	0.07	3
445	GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL	412	398	0.115	3
446	THE MICHAEL J. PETRIDES SCHOOL	488	472	0.12	3
447	NEW DORP HIGH SCHOOL	437	424	0.139	4
448	PORT RICHMOND HIGH SCHOOL	438	424	0.172	4
449	CURTIS HIGH SCHOOL	435	437	0.129	4
450	TOTTENVILLE HIGH SCHOOL	486	462	0.107	4
451	SUSAN E. WAGNER HIGH SCHOOL	474	455	0.112	4
452	CONCORD HIGH SCHOOL	455	466	0.375	4
453	RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	422	416	0.234	4
454	STATEN ISLAND TECHNICAL HIGH SCHOOL	682	635	0.041	3
455	YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS	375	405	0.585	0
456	ACADEMY FOR ENVIRONMENTAL LEADERSHIP	366	380	0.258	3
457	EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK	409	384	0.156	1
458	BUSHWICK SCHOOL FOR SOCIAL JUSTICE	353	348	0.245	3
459	ACADEMY OF URBAN PLANNING	364	342	0.355	3
460	ALL CITY LEADERSHIP SECONDARY SCHOOL	465	428	0.074	4
461	BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE	358	347	0.215	3
462	BUSHWICK COMMUNITY HIGH SCHOOL	317	359	0.653	3
463	P.S. 371 s LILLIAN L. RASHKIS	0	0	0.409	3
464	P.S. Q811	444	429	0.126	4
465	SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25	0	0	0.415	3
466	P.S. X012 LEWIS AND CLARK SCHOOL	0	0	0.629	3
467	J. M. RAPPORT SCHOOL CAREER DEVELOPMENT	0	0	0.578	4
468	GED PLUS s CITYWIDE	400	496	0	0
469	PHOENIX ACADEMY	370	367	0	0
