Name	Math_Avg	Reading_Avg	Attendance_Ratio	Rating
81	FRANK MCCOURT HIGH SCHOOL	0	0	0.062	3
82	LOUIS D. BRANDEIS HIGH SCHOOL	390	370	0	3
83	BEACON HIGH SCHOOL	575	577	0.045	4
84	FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS	564	566	0.052	4
85	HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE	398	396	0.179	4
86	HIGH SCHOOL OF ARTS AND TECHNOLOGY	433	433	0.221	2
87	EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL	369	401	0.615	2
88	MANHATTAN / HUNTER SCIENCE HIGH SCHOOL	506	473	0.034	3
89	FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL	379	356	0.186	3
90	COALITION SCHOOL FOR SOCIAL CHANGE	357	354	0.35	2
91	MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS	514	461	0.077	4
92	PARK EAST HIGH SCHOOL	379	373	0.129	3
93	CENTRAL PARK EAST HIGH SCHOOL	421	405	0.064	3
94	YOUNG WOMEN'S LEADERSHIP SCHOOL	446	432	0.049	3
95	ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL	369	369	0.233	1
96	HERITAGE SCHOOL, THE	351	358	0.174	2
97	HARLEM RENAISSANCE HIGH SCHOOL	318	357	0.474	2
98	MOTT HALL HIGH SCHOOL	399	413	0.14	3
99	COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING	0	0	0.048	3
100	ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL	366	354	0.385	2
101	URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS	353	360	0.219	2
102	CHOIR ACADEMY OF HARLEM	360	354	0.324	3
103	FREDERICK DOUGLASS ACADEMY	474	458	0.121	3
104	THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE	402	396	0.081	2
105	BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL	361	369	0.335	2
106	HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE	654	605	0.061	4
107	CITY COLLEGE ACADEMY OF THE ARTS	446	408	0.072	4
108	COMMUNITY HEALTH ACADEMY OF THE HEIGHTS	376	362	0.212	2
109	WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL	395	380	0.113	4
110	HIGH SCHOOL FOR EXCELLENCE AND INNOVATION	0	0	0.494	3
111	GEORGE WASHINGTON YABC	357	394	0.263	0
112	HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE	384	365	0.156	4
113	HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS	380	369	0.25	4
114	HIGH SCHOOL FOR LAW AND PUBLIC SERVICE	378	363	0.158	4
115	HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES	422	400	0.175	2
116	A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL	456	430	0.127	4
117	GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS	349	339	0.117	3
118	SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL	378	364	0.135	4
119	CROTONA ACADEMY HIGH SCHOOL	364	379	0.696	2
120	INTERNATIONAL COMMUNITY HIGH SCHOOL	324	310	0.207	3
121	JILL CHAIFETZ TRANSFER HIGH SCHOOL	0	0	0.509	3
122	BRONX HAVEN HIGH SCHOOL	0	0	0.528	2
123	COMMUNITY SCHOOL FOR SOCIAL JUSTICE	359	361	0.232	3
124	MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL	375	351	0.196	3
125	UNIVERSITY HEIGHTS SECONDARY SCHOOL	394	403	0.101	3
126	HOSTOSsLINCOLN ACADEMY OF SCIENCE	426	420	0.117	3
127	FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES	396	399	0.273	3
128	BRONX LEADERSHIP ACADEMY II HIGH SCHOOL	378	362	0.191	3
129	NEW EXPLORERS HIGH SCHOOL	356	367	0.207	2
130	URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS	411	387	0.236	3
131	BRONX ACADEMY OF LETTERS	381	413	0.144	3
132	ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	400	394	0.224	1
133	SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	416	398	0.536	1
134	HEALTH OPPORTUNITIES HIGH SCHOOL	368	363	0.21	3
135	BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS	0	0	0.194	2
136	WOMEN'S ACADEMY OF EXCELLENCE	386	407	0.295	2
137	RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY	385	384	0.193	4
138	GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY	390	416	0.323	3
139	PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES	361	337	0.204	3
140	MILLENNIUM ART ACADEMY	402	387	0.158	4
141	HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH	371	363	0.232	2
142	ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS	0	0	0.152	2
143	ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL	0	0	0.162	3
144	BRONX COMMUNITY HIGH SCHOOL	369	367	0.73	2
145	HERBERT H. LEHMAN HIGH SCHOOL	436	412	0.292	2
146	HERBERT H. LEHMAN YABC	373	402	0.474	0
147	BRONX BRIDGES HIGH SCHOOL	0	0	0.094	3
148	BRONX GUILD	371	369	0.309	2
149	STEVENSON YABC	0	0	0.702	0
150	FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE	370	373	0.172	3
151	BANANA KELLY HIGH SCHOOL	381	373	0.372	2
152	BRONX ARENA HIGH SCHOOL	0	0	0.672	4
153	SCHOOL FOR COMMUNITY RESEARCH AND LEARNING	400	366	0.26	3
154	HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL	368	404	0	2
155	JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS	359	377	0.363	1
156	BRONX EXPEDITIONARY LEARNING HIGH SCHOOL	376	324	0.218	3
157	EAGLE ACADEMY FOR YOUNG MEN	387	373	0.142	3
158	URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE	355	372	0.175	3
159	URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE	464	411	0.134	4
