BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
K685,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q043,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,P,P,WD,No Data,No Data,WD,WD,P,P,P,P,WD,WD,WD,WD,P,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q051,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,WD,WD,WD,P,P,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
Q060,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q096,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,WD,WD,P,P,P,WD,WD,P,WD,WD,P,WD,P,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
Q495,08/01/2007 12:00:00 AM,09/26/2007 12:00:00 AM,WD,WD,O,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,O,WD,O,P,No Data,WD,O,WD,WD,WD,WD,O,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
Q108,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q197,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,P,WD,P,P,WD,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,P,P,WD,WD,WD,P,WD,P,WD,WD,P,P,WD,WD,No Data,No Data,No Data,P
Q566,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q650,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,P,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,P,P,WD,P,WD,P,P,P,WD,P,WD,WD,WD,P,WD,P,P,P,WD,No Data,No Data,No Data,P
X072,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,U,U,U,U,U,No Data,No Data,U,U,U,P,P,P,U,U,P,U,P,U,P,U,P,U,P,U,U,U,U,U,No Data,No Data,No Data,U
X403,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X547,07/01/2006 12:00:00 AM,05/23/2007 12:00:00 AM,P,P,U,U,P,No Data,No Data,No Data,P,U,P,P,U,P,No Data,No Data,P,P,U,P,P,P,P,P,U,P,P,U,P,U,P,P,P,P,U,P,P,P,No Data,No Data,No Data,P
K155,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,U,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K323,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,U,P,WD,P,P,No Data,No Data,P,P,U,P,P,P,P,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,U,P,U,U,No Data,No Data,No Data,U
M050,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M294,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M495,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q045,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,WD,P,WD,WD,P,WD,P,P,WD,WD,P,WD,WD,WD,P,WD,P,WD,P,WD,No Data,No Data,No Data,P
Q105,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q207,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,WD,P,WD,WD,WD,P,WD,U,P,P,P,No Data,No Data,No Data,P
Q253,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,WD,WD,P,WD,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
Q263,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X088,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,WD,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,WD,WD,P,P,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
X262,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,U,P,P,U,P,No Data,No Data,No Data,P,U,U,P,U,U,No Data,No Data,U,P,P,P,P,P,P,P,U,P,P,P,P,U,WD,P,P,P,U,U,U,U,No Data,No Data,No Data,U
X322,07/01/2006 12:00:00 AM,05/24/2007 12:00:00 AM,P,P,P,P,U,No Data,No Data,No Data,P,U,P,P,U,U,No Data,No Data,U,U,P,P,P,P,P,P,WD,P,P,P,P,P,WD,P,U,P,U,P,P,U,No Data,No Data,No Data,P
K007,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
M199,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M696,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Q062,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q215,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
Q223,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,WD,WD,WD,P,No Data,No Data,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
Q262,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
X071,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
X230,07/01/2006 12:00:00 AM,05/25/2007 12:00:00 AM,P,P,WD,P,P,No Data,No Data,No Data,P,P,P,P,P,U,No Data,No Data,P,P,U,P,P,P,U,P,P,U,P,P,P,P,WD,U,P,P,U,P,P,P,No Data,No Data,No Data,P
K065,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,P,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
K145,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,P,P,P,WD,No Data,No Data,P,WD,P,WD,P,P,P,WD,P,P,P,WD,WD,P,WD,WD,WD,WD,U,P,P,P,No Data,No Data,No Data,P
K150,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,U,U,U,P,No Data,No Data,No Data,U,P,P,P,U,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,P,P,No Data,No Data,No Data,P
K165,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,No Data,No Data,P
K184,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,P,P,No Data,No Data,U,U,U,P,P,P,U,P,U,U,P,U,P,P,WD,P,P,P,U,U,P,P,No Data,No Data,No Data,P
K284,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,U,P,P,WD,WD,WD,WD,P,U,WD,P,P,P,U,No Data,No Data,No Data,P
K345,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
K377,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,U,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K384,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,WD,P,P,P,P,P,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,U,U,P,U,No Data,No Data,No Data,P
Q042,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,WD,WD,WD,P,P,P,P,WD,WD,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
Q090,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
Q114,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,P,U,P,P,P,P,P,No Data,No Data,No Data,P
Q600,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
X003,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,WD,WD,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,P,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,WD,P,WD,WD,P,WD,No Data,No Data,No Data,WD
X114,07/01/2006 12:00:00 AM,05/29/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,P,WD,P,U,No Data,No Data,P,WD,U,P,P,P,P,WD,P,P,P,WD,U,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
K108,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
K159,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,U,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K224,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,P,P,WD,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
K298,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,WD,P,WD,WD,WD,WD,WD,U,P,P,U,No Data,No Data,No Data,U
K332,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
K346,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,P,U,No Data,No Data,P,P,P,WD,WD,P,P,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,U,No Data,No Data,No Data,P
K522,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
K527,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,WD,WD,WD,P,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
Q064,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,P,P,P,WD,P,P,P,WD,WD,P,WD,WD,U,P,P,P,P,P,No Data,No Data,No Data,P
Q070,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
Q127,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,WD,P,P,WD,WD,P,P,WD,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
Q152,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
X145,07/01/2006 12:00:00 AM,05/30/2007 12:00:00 AM,P,P,U,P,P,No Data,No Data,No Data,P,U,P,P,P,U,No Data,No Data,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,P,WD,WD,P,U,P,P,P,No Data,No Data,No Data,P
K158,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,WD,WD,P,P,No Data,No Data,No Data,P,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,No Data,No Data,No Data,P
K190,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,WD,P,P,U,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,WD,P,P,P,WD,P,P,P,P,P,P,P,WD,WD,U,P,P,P,P,P,No Data,No Data,No Data,P
K545,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,WD,WD,P,P,No Data,No Data,No Data,WD,P,P,P,WD,P,No Data,No Data,P,P,P,WD,WD,WD,WD,WD,P,WD,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
Q283,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,WD,P,WD,P,WD,P,WD,P,P,WD,P,P,WD,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
Q285,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,WD,P,P,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
Q333,07/01/2006 12:00:00 AM,05/31/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,P,P,No Data,No Data,No Data,P
K404,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,WD,P,WD,P,No Data,No Data,No Data,WD,U,P,P,U,U,No Data,No Data,U,P,P,WD,WD,P,P,WD,P,P,P,WD,WD,P,WD,P,WD,WD,U,P,P,U,No Data,No Data,No Data,P
K484,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,U,U,U,P,U,No Data,No Data,No Data,U,U,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,U,U,U,No Data,No Data,No Data,U
K489,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,P,WD,P,WD,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M313,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M344,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,P,WD,WD,P,No Data,No Data,P,P,P,P,P,U,P,WD,WD,P,P,P,P,P,WD,WD,P,P,U,P,U,U,No Data,No Data,No Data,U
M346,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,WD,WD,WD,WD,WD,P,WD,P,P,P,P,No Data,No Data,No Data,P
M349,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,U,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,U,P,P,P,U,P,WD,P,P,P,U,P,P,P,P,P,U,U,P,P,No Data,No Data,No Data,U
M369,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,P,P,WD,WD,WD,P,WD,P,P,P,WD,WD,P,WD,P,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
Q017,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,P,WD,WD,P,WD,WD,No Data,No Data,WD,WD,WD,P,P,P,WD,WD,WD,P,WD,P,P,WD,WD,WD,P,P,P,P,WD,WD,No Data,No Data,No Data,P
Q085,07/01/2006 12:00:00 AM,06/05/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,P,P,WD,P,P,P,P,P,P,P,P,WD,P,P,P,U,P,No Data,No Data,No Data,P
Q135,07/01/2006 12:00:00 AM,06/01/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
K213,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,U,P,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
K382,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,P,P,U,U,No Data,No Data,No Data,U,P,P,P,WD,P,No Data,No Data,P,P,U,P,P,P,U,P,WD,P,P,P,P,P,WD,WD,P,P,P,U,P,P,No Data,No Data,No Data,P
K503,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,P,P,WD,P,P,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
M125,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,WD,WD,P,WD,No Data,No Data,No Data,WD,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,U,P,P,WD,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
M208,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,U,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,WD,No Data,No Data,No Data,P
M449,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,DYO,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
M540,07/01/2006 12:00:00 AM,06/04/2007 12:00:00 AM,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
